type,name,age,breed,size,weight,dogs,cats,kids,energy,affection,new_people,training,image_url
Dog,Swiffer,24,Mixed Breed (Large),,46.2,4,2,2,3,3,4,3,https://new-s3.shelterluv.com/profile-pictures/a9d545a9a1b5be7c907f135e11badf17/14dfada9514cfa4a39bae377b5664a57.jpg
Cat,Belle,108,Domestic Longhair,,5.5777,3,3,3,3,3,3,3,https://new-s3.shelterluv.com/profile-pictures/80af8eeda4b5e0b48d3331a30c26aef3/e6886483aaabef6fccafa84f9933fa26.jpg
Cat,Maxie,199,Persian/Himalayan,,5.19,3,3,3,3,3,3,3,https://new-s3.shelterluv.com/public/img/profile_photo/default_cat.png
Cat,Chloe,199,Domestic Longhair,,9.6,3,3,3,3,3,3,3,https://new-s3.shelterluv.com/public/img/profile_photo/default_cat.png
Cat,Mao,199,Domestic Shorthair,,11.3,3,3,3,3,3,3,3,https://new-s3.shelterluv.com/profile-pictures/7121674acf3d0a8a622c889fca1c20a8/20190910104553.png
Cat,Dean,136,Domestic Longhair,,12,2,1,1,3,3,2,3,https://new-s3.shelterluv.com/profile-pictures/72a8a2b8d9b80a05e1cb9fe9c4c1163a/20241208132958.png
Cat,Simba,158,Domestic Shorthair,,,3,3,3,3,3,3,3,https://new-s3.shelterluv.com/profile-pictures/4dc32b0d93a7892930fbd9e2d70e8e7e/20190911105610.png
Cat,Reversi,140,Domestic Shorthair,,9,3,3,3,3,3,3,3,https://new-s3.shelterluv.com/profile-pictures/8becec302de90c1ab7409ade443aa133/20190910110649.png
Dog,Milo fka Sam,139,Mixed Breed (Medium),Medium (20-59),59.7,1,1,1,3,3,2,3,https://new-s3.shelterluv.com/profile-pictures/d9dc74b308ba54030d05189722ded854/20190914111736.png
Dog,Andi,165,Mixed Breed (Large),Large (60-99),53.8,3,1,3,2,3,3,3,https://new-s3.shelterluv.com/profile-pictures/b41d223b544a346b0248209c07202303/20220923101545.png
Cat,Arthur,222,Domestic Shorthair,,6.4,2,1,2,2,3,4,3,https://new-s3.shelterluv.com/profile-pictures/84ca3b30be0b452ec19251fc07ceaacb/20190910093246.png
Dog,Nebula,75,Mixed Breed (Medium),Medium (20-59),67.8,5,2,4,3,3,4,3,https://new-s3.shelterluv.com/profile-pictures/cd53be4b01f94be92ccd33fcc59f3556/20240609085851.png
Cat,Taylor Swift,146,Domestic Longhair,,12.4,3,3,3,3,3,3,3,https://new-s3.shelterluv.com/profile-pictures/94fab2460153bfe00253b9dacc3e56c4/20230821133927.png
Cat,Cardamom,55,Domestic Shorthair,,11.7,2,3,2,3,3,2,3,https://new-s3.shelterluv.com/profile-pictures/435873092a158ab90b90702c58d7f3f4/20220618094348.png
Dog,Lulu,117,Mixed Breed (Medium),Medium (20-59),56.6,1,1,1,3,3,2,3,https://new-s3.shelterluv.com/profile-pictures/246cd2a4b7fd8b625de5116768bfedd5/20240321083823.png
Dog,Apollo,96,Mixed Breed (Large),Large (60-99),68.6,3,3,3,3,3,2,3,https://new-s3.shelterluv.com/profile-pictures/3fa7f2f8cca9e0d7dd1361af64eac5f8/20220706115226.png
Cat,Pimms,78,Domestic Shorthair,,12.6,2,1,2,3,3,3,3,https://new-s3.shelterluv.com/profile-pictures/52cf2084b8b4dc290a30b98e14878c45/20240328092107.png
Dog,Curie,21,Mixed Breed (Medium),Medium (20-59),65.2,4,4,5,3,3,4,3,https://new-s3.shelterluv.com/profile-pictures/568a76254f4c8b9f44dffb151fb7b5ca/20241004071145.png
Dog,Julio,104,Mixed Breed (Medium),Large (60-99),71,3,1,1,3,3,3,3,https://new-s3.shelterluv.com/profile-pictures/328a740690b5610408b7122a92893c1b/20240321085359.png
Dog,Birdie,90,Mixed Breed (Large),Large (60-99),82.4,1,3,2,3,3,5,3,https://new-s3.shelterluv.com/profile-pictures/044efc01107705615afe80486da1d563/4b36c323583039e636422db0c9d2c690.jpeg
Cat,Rosie,68,Domestic Shorthair,,6.6,2,2,3,3,3,4,3,https://new-s3.shelterluv.com/profile-pictures/0d70b08131f4658867e1160b1e768a79/20240321082737.png
Cat,Swiss,13,Domestic Shorthair,,7.25,3,5,5,3,3,5,3,https://new-s3.shelterluv.com/profile-pictures/92a094402292c9168465a512945e60bc/9217b7d7fca9fffa06734a2e86bb14ff.jpg
Dog,Alexandra,81,Mixed Breed (Medium),Medium (20-59),33,3,2,2,3,3,3,3,https://new-s3.shelterluv.com/profile-pictures/44cafd961ee8fcf4cc7e4ed7314bd04f/20221209084753.png
Dog,Noodle,63,Mixed Breed (Medium),Medium (20-59),59,3,2,2,3,3,2,3,https://new-s3.shelterluv.com/profile-pictures/6c465c963ae85e2c73d88ee015208c49/20230725123806.png
Dog,Appa,87,Mixed Breed (Large),Medium (20-59),63,1,1,4,3,3,4,3,https://new-s3.shelterluv.com/profile-pictures/98fd39c5c7b872d0f95d994a243a392d/20230304114813.png
Dog,Jack,77,Mixed Breed (Large),Medium (20-59),64,3,2,2,3,3,3,3,https://new-s3.shelterluv.com/profile-pictures/20f1d8e6e1655a5e47cc46098a8c510d/20221128055210.png
Cat,Stardust,40,Domestic Shorthair,,10.63,3,2,2,3,3,5,3,https://new-s3.shelterluv.com/profile-pictures/4fa2589533c1e6d8176d7e446f2cf32c/a24c070fb1fce50a243862e5b1c531f0.jpg
Dog,Kazoo,62,Mixed Breed (Medium),,74.2,2,2,4,3,3,5,3,https://new-s3.shelterluv.com/profile-pictures/7c77ed65a582106fdc0f3fbd82c916b2/f5c06c5fbf65a5d6d572fa323637db5c.jpeg
Cat,Daisy,65,Domestic Shorthair,,8.67,2,4,2,3,3,4,3,https://new-s3.shelterluv.com/profile-pictures/3a2010e1ec871ceb9a056be273872bb3/20241206143427.png
Cat,Twin,181,Domestic Longhair,,9.6,3,3,3,3,3,4,3,https://new-s3.shelterluv.com/profile-pictures/ffddb84562f68504b9468bac5c8c1465/20241208065035.png
Dog,Calum,152,Mixed Breed (Large),Large (60-99),67,3,2,1,3,3,3,3,https://new-s3.shelterluv.com/profile-pictures/b16fe0c45ffd1c5fd3f9f052568dd503/20240321081045.png
Cat,Leah,111,Domestic Shorthair,,13.3,2,3,2,3,3,3,3,https://new-s3.shelterluv.com/profile-pictures/cb285e3abb5bfd76fc2aaeb40f7687fb/20240321083100_0.png
Cat,Inosuke,53,Domestic Shorthair,,10.88,1,3,5,2,3,5,3,https://new-s3.shelterluv.com/profile-pictures/c72e691ef467521f754339102478f91e/2356755cedea0d9d22b46ddadd7a3566.jpg
Dog,Dunkin,63,Mixed Breed (Medium),Small (1-19),71,3,1,3,2,3,3,3,https://new-s3.shelterluv.com/profile-pictures/df16d1970b05d2c977ce4e4801cb7b53/20240205125718.png
Dog,CJ,80,Mixed Breed (Large),Large (60-99),92,3,1,4,2,3,5,3,https://new-s3.shelterluv.com/profile-pictures/46bd5dc7a97d2263bd77276311a463fa/20240408132817.png
Cat,Tesla,123,Domestic Shorthair,,5.76,2,3,3,3,3,4,3,https://new-s3.shelterluv.com/profile-pictures/6e642940a667a76ec894d985a12da1e1/20230725130119.png
Dog,Teddy,109,Mixed Breed (Large),Large (60-99),62,3,2,1,3,3,3,3,https://new-s3.shelterluv.com/profile-pictures/3cb4423931d455e9db75519a9d8e03d8/20240328092850.png
Dog,Peaches,49,Mixed Breed (Large),Large (60-99),45,2,1,5,3,3,5,3,https://new-s3.shelterluv.com/profile-pictures/058e1f0215acd35f3e8e4dd16cb53571/20220808085233.png
Cat,Marcy,73,Domestic Shorthair,,8.6,2,4,2,3,3,3,3,https://new-s3.shelterluv.com/profile-pictures/e8296eb5ae27a8296ae2d9dedc19daa8/20240328094818.png
Dog,Strawberry,77,Mixed Breed (Large),Large (60-99),56.6,1,2,2,3,3,3,3,https://new-s3.shelterluv.com/profile-pictures/0f1d8d0163870351c1422a8bc83022de/20240508145033.png
Cat,Hanna,150,Domestic Shorthair,,12.18,2,1,2,3,3,3,3,https://new-s3.shelterluv.com/profile-pictures/0e6dac5d5f0f6b46cfda966cb1119584/20210610155848.png
Cat,Sprinkles,57,Domestic Shorthair,,18.94,2,2,2,3,3,4,3,https://new-s3.shelterluv.com/profile-pictures/05e134860321eb8ad61907de1bcd858f/20240328090510.png
Cat,Sookie,52,Domestic Shorthair,,9.18,2,3,2,3,3,3,3,https://new-s3.shelterluv.com/profile-pictures/c55e91d785625f343957b1befd19e342/20240516064117.png
Cat,Maya,75,Domestic Shorthair,,8.16,2,3,3,3,3,3,3,https://new-s3.shelterluv.com/profile-pictures/a2c2677ae06fb27060cdb3a0a6b4fe1b/20240328100929.png
Dog,Brownie,30,Mixed Breed (Medium),Medium (20-59),46,4,2,4,3,3,5,3,https://new-s3.shelterluv.com/profile-pictures/74cfaccf73f0d570384f40902715c8ab/a3bd737113af12853cbd686d55a77a7f.jpg
Cat,Yuki,149,Domestic Shorthair,,11.75,2,3,4,2,3,3,3,https://new-s3.shelterluv.com/profile-pictures/97824d60ae5031ba834737b38bcc8764/20230508064533.png
Cat,Hey It's Franklin,105,Domestic Shorthair,,11.88,2,2,2,3,3,3,3,https://new-s3.shelterluv.com/profile-pictures/b6fa2a071f5db5429e38c073ef0f5e28/7f6b1ba6adc4e5215267e2fe65b6a3dd.jpeg
Dog,Banh Mi,18,Mixed Breed (Medium),,54.8,3,1,4,3,3,4,3,https://new-s3.shelterluv.com/profile-pictures/4055fc9bc5003d4865b527395767034b/129949c2395182f9f83b794cc9be520d.jpg
Cat,Michita,14,Domestic Shorthair,,6.94,5,5,3,3,3,4,3,https://new-s3.shelterluv.com/profile-pictures/5f612406acdff9c772a953e870fd212a/730f854208571b6751d50f603e1b5ae4.jpeg
Cat,Michuna,14,Domestic Shorthair/Domestic Shorthair,,8.67,5,5,3,3,3,4,3,https://new-s3.shelterluv.com/profile-pictures/211ce4cb0f1ee1f8aebb81fa8c7b0aa2/222d257dce27f459e43c8857dc3ace37.jpeg
Cat,Calimero,24,Domestic Shorthair,,13.23,1,1,3,3,3,4,3,https://new-s3.shelterluv.com/profile-pictures/3089a31a56ff380476a48bfc5d6a4663/0cfe7316fc98bb61f03f15af4144c538.jpg
Cat,Gru,188,Domestic Shorthair,,8.4,2,4,2,3,3,4,3,https://new-s3.shelterluv.com/profile-pictures/bce7f7b47842adc35654350b45e6d915/69fb2e2ccc0bd941b2a8bd7fb884a971.jpg
Dog,Fancy Fred,10,Mixed Breed (Large),,43.2,3,2,4,3,3,3,3,https://new-s3.shelterluv.com/profile-pictures/80a20a40eb81a5d36049659fd1f169df/d47af568128a7c9be8f916c7eb4cff95.jpg
Dog,Ryder,91,Mixed Breed (Medium),,61,4,1,4,3,3,4,3,https://new-s3.shelterluv.com/profile-pictures/4255ed59ccd88bb747c9d553b23d3417/66364f078830a1569bc8f15173ce67bd.jpg
Cat,Princess Bean,15,Domestic Shorthair,,7.94,2,2,2,3,3,3,3,https://new-s3.shelterluv.com/profile-pictures/be44de4e6b95c69462745bc7e60c6710/82ea01175858aad6dcedbbe9aebe9a3f.jpeg
Cat,Stevie Wonpurr,18,Domestic Shorthair,,12.5,2,2,2,3,3,4,3,https://new-s3.shelterluv.com/profile-pictures/b7b8c69dadfa351fe966943f279c2e26/c5eb66bef701155efc526566d1eb2900.jpg
Cat,Stanley Michael,6,Domestic Shorthair,,6.51,2,2,2,3,3,3,3,https://new-s3.shelterluv.com/profile-pictures/b462996bf1b60315f6d334f7c55b071c/97a4e090eef136079413f3f1647e122a.jpg
Dog,Ozzy Pawsborne,41,Mixed Breed (Medium),Medium (25-59),52,4,3,4,3,3,3,3,https://new-s3.shelterluv.com/profile-pictures/87d819f866cda9c50e5f0260d6bbd724/11aa14db711405e9f0f991a5b043f296.jpg
Cat,Georgia O'Keeffe,41,Domestic Shorthair,,7.69,2,1,3,3,3,4,3,https://new-s3.shelterluv.com/profile-pictures/0757e78f746daa97c953f203004641fb/07815b09e228a4e0b2b49b6c9ae17104.jpg
Cat,Sir Georgie,6,Domestic Shorthair,,4.8,2,2,2,3,3,2,3,https://new-s3.shelterluv.com/profile-pictures/40660cad50c63de1dbd90c048d7a24c1/211454ebeb744ec9bbc26db357b8a45d.jpg
Cat,Luna Fry,17,Domestic Shorthair,,6.46,2,2,4,3,3,4,3,https://new-s3.shelterluv.com/profile-pictures/e812e7b4ca158762b51cc48065f13f11/5b8800b3412f8ab7b1a3cd4e866079fa.jpg
Cat,MooMoo,12,Domestic Shorthair,,7.53,2,1,2,3,3,3,3,https://new-s3.shelterluv.com/profile-pictures/3f3fb4822fc6fbeaa96dfd764baf1c00/03a566fc16585181176bed30de367dcf.jpg
Cat,Power,18,Domestic Shorthair,,8.67,3,4,2,3,3,4,3,https://new-s3.shelterluv.com/profile-pictures/7a9c0d465d45a80017280440328e1590/490e4929853a87d6a2e010f0f36ae2ad.jpg
Cat,Carmen San Diego,64,Domestic Shorthair,,10.1,2,4,2,3,3,4,3,https://new-s3.shelterluv.com/profile-pictures/8b52221706bc98fb1e74ac620e28057e/bd477d2694838992849414807e1fc566.jpg
Dog,Winston,80,Mixed Breed (Medium),Medium (25-59),49.2,3,2,3,3,3,3,3,https://new-s3.shelterluv.com/profile-pictures/b78500bd59b8dd52f1c8206800593635/504ef61288c891864148e5a9fdfa93cd.jpeg
Dog,Millie,109,Mixed Breed (Medium),Medium (25-59),49,3,1,3,3,3,3,3,https://new-s3.shelterluv.com/profile-pictures/4fe35c61e12c12bc88686f58ef72c445/fd994c46dd4e7c2ffa8ec76183f8a239.jpg
Cat,Limahl,4,Domestic Shorthair,,1.433,2,3,2,3,3,3,3,https://new-s3.shelterluv.com/profile-pictures/623df3a9474490a688cc84ba388d1d1c/7e7731bff6e9d64bccaee1a1c8456e91.jpg
Cat,Mochi,5,Domestic Shorthair,,4.46,2,3,2,3,3,3,3,https://new-s3.shelterluv.com/profile-pictures/9c34c19166d258a3899df61bc7e946ed/454156bd16ca5eaa7a4f2b9ca17ab7ff.jpg
Cat,Yoshi,20,Domestic Shorthair,,13.4,3,2,2,3,3,4,3,https://new-s3.shelterluv.com/profile-pictures/f8e581c38c095ed65b306b2b480c7c7c/190168a83a4d2822bfc57fceb19c7948.jpg
Cat,Lucy Goosey,5,Domestic Shorthair,,2.52,2,4,4,3,3,3,3,https://new-s3.shelterluv.com/profile-pictures/bcc7382c48f8b7492e0e3ae932b96ecc/d5e781b046fe34e6c08c29fa1ac06e3d.jpg
Dog,Copper,76,Mixed Breed (Large),,47,3,2,2,3,3,5,3,https://new-s3.shelterluv.com/profile-pictures/8d8b650748f120ba9d97fce067d4429c/72258dfdb6dc65958332bd720bf13cfb.jpg
Dog,Little Bit,28,Mixed Breed (Small),,10.2,3,2,2,2,3,2,3,https://new-s3.shelterluv.com/profile-pictures/11ab3f2c76d4947be4d59a9c75267fc4/89f82e5bc5d167b3bc8ef30df8a779ce.jpeg
Cat,Tig,6,Domestic Shorthair,,4.6,3,3,4,3,3,3,3,https://new-s3.shelterluv.com/profile-pictures/902bd8a727ee3058346d789f5ef9585a/3b22edd64a4ee82053691920f6529e53.jpeg
Cat,Lingshi,6,Domestic Shorthair,,5.9,3,3,4,3,3,3,3,https://new-s3.shelterluv.com/profile-pictures/ef34159a64629d814ecb8f159432f277/bae4344d42903718cd755499b8c357b2.jpg
Dog,Smoochie Pooch,63,Mixed Breed (Medium),,51.2,3,2,5,3,3,5,3,https://new-s3.shelterluv.com/profile-pictures/3b90f4e3c6f695259bff857d69f5f48f/6c227d04af3ad412b93d09cf07df0ba0.jpg
Dog,Rudie Joe,63,Mixed Breed (Medium),,56.4,3,3,4,3,3,4,3,https://new-s3.shelterluv.com/profile-pictures/35d34ac577396e397e9a01b3f3abfaf8/463cd76105442d9133fa36cd228df4f8.jpg
Dog,Dreamer,12,Mixed Breed (Medium),,52.8,4,2,3,3,3,3,3,https://new-s3.shelterluv.com/profile-pictures/09785d6b686c6a8e86f9e65deb420955/694f2b384e0bc9150a9ef81da033ed52.jpg
Cat,Alfred Pennyworth,5,Domestic Shorthair,,5.2,3,3,3,3,3,3,3,https://new-s3.shelterluv.com/profile-pictures/92148166a656ba744c5e078f8fa7d5f5/12175305c1fcb7b0660ec48f2f7776f8.jpg
Cat,Helo,39,Domestic Shorthair,,11.14,1,3,2,3,3,3,3,https://new-s3.shelterluv.com/profile-pictures/e1aa2db7d6de7ecaf89f8463ae9cffc1/a2250ae6d2ab4d3a867568641d9360ad.jpg
Cat,Domino,4,Domestic Shorthair,,2.95,2,3,2,3,3,3,3,https://new-s3.shelterluv.com/profile-pictures/ee36994c9aaa590943f2a1156bffe09a/413ec35586cd7972fb4850d738e84f00.jpg
Cat,Mei Mei,4,Domestic Shorthair,,4.62,2,3,2,3,3,3,3,https://new-s3.shelterluv.com/profile-pictures/d87a6a9df9a1f2328769ee7e4178cdea/e146e737073c17f0b6056204078303d0.jpg
Cat,Denis,3,Domestic Shorthair,,3.98,2,3,2,3,3,3,3,https://new-s3.shelterluv.com/profile-pictures/5a1155b6321460dac93ab8bbe5d580eb/5a21f5185356693c24ae877b4ce542e5.jpg
Cat,Simba,53,Domestic Shorthair,,11.13,3,3,3,3,3,3,3,https://new-s3.shelterluv.com/profile-pictures/cb9a058b9ffd208bd4e759c87b5fa48f/d85bdff8c4bb18f8edccccb206f64e0e.jpg
Cat,Snake Pliskitten,3,Domestic Shorthair,,3.8,2,4,2,3,3,4,3,https://new-s3.shelterluv.com/profile-pictures/d592aa4b6250bb4a58f24b0e0f2a60f7/aa9becdd7309ded5a19a26b6653e5a6e.jpeg
Cat,Lydia,3,Domestic Shorthair,,0.97,3,3,3,3,3,3,3,https://new-s3.shelterluv.com/profile-pictures/32c8b06beb873ed064c25873dc764ccb/a6ffe3c0168a2474e77ce1ecbdaf0f45.jpg
Dog,Danzig,15,Mixed Breed (Medium),Medium (25-59),58,4,4,4,3,3,5,3,https://new-s3.shelterluv.com/profile-pictures/cff219eb541440488edeb4249e60302f/131351d92e1ef78124dc17207f7112e3.jpg
Cat,Lola,12,Domestic Shorthair,,7.25,2,4,2,3,3,4,3,https://new-s3.shelterluv.com/profile-pictures/a6ce721e5219c30fea29d106eb9368cb/02df43570b7de47495ae9ca55fd64a0d.jpeg
Cat,Mina,4,Domestic Shorthair,,4.56,2,3,2,3,3,3,3,https://new-s3.shelterluv.com/profile-pictures/c9c871ebc00f43a7f2d6c460875c3e2b/2c0f70ce7f39ead840b44e96e718bfb4.jpeg
Cat,Lucy,4,Domestic Shorthair,,2.68,2,3,2,3,3,3,3,https://new-s3.shelterluv.com/profile-pictures/bf19128d6cb9d0a7177e5f841575a00b/2178a2a48bb6c8907c9ef371120f76fd.jpeg
Cat,Hange,4,Domestic Shorthair,,2.9,2,3,2,3,3,3,3,https://new-s3.shelterluv.com/profile-pictures/f2e1b4b9880d9201888ae7fd28cda231/c196b8b16228253be9a3a2a6ffeb24b9.jpeg
Dog,Queenie,46,Mixed Breed (Medium),Medium (25-59),66,4,1,4,3,3,5,3,https://new-s3.shelterluv.com/profile-pictures/d4d8f596e2de4ada65bf0adb17d72f12/8a851f6312df3011d15281725bcdc11e.jpg
Cat,Peanut Butter,4,Domestic Shorthair,,3.22,2,3,2,3,3,3,3,https://new-s3.shelterluv.com/profile-pictures/d5ac5b850b2435533ce85e78792a48f7/675a2095c490cb3bdfe64c60b4e08d2d.jpg
Cat,Quotes,4,Domestic Shorthair,,4.22,2,3,2,3,3,3,3,https://new-s3.shelterluv.com/profile-pictures/bf249bdf3af42305ad6076602f7a125d/faa33eb8f69d04c7ca77e6e8b1cf83cc.jpg
Cat,Maureen,4,Domestic Shorthair,,3.49,2,3,2,3,3,3,3,https://new-s3.shelterluv.com/profile-pictures/22580d0ad53085b0d84213e4df7c5816/fcd07c4ca51f3442724767985ae3bac5.jpg
Cat,Thing 1,4,Domestic Shorthair,,4,2,3,2,3,3,3,3,https://new-s3.shelterluv.com/profile-pictures/4a2175fc5fc0252be1d97ee5ba9e6b27/497e959225110849d0aacdb5448c8442.jpg
Cat,Wyatt,6,Domestic Shorthair,,6.2,1,3,2,3,3,3,3,https://new-s3.shelterluv.com/profile-pictures/a9e9452e2b04b2b6bda805b347cf2754/59c1b7a6ea65bd6912d0cf1162ec01db.jpg
Cat,Willow,6,Domestic Shorthair,,5.5,1,3,2,3,3,3,3,https://new-s3.shelterluv.com/profile-pictures/07853cf188b92255e9decb8d7bad44da/8d65e0a2ecd288f6a062fa7b9b3c1c78.jpg
Dog,Dove,4,Mixed Breed (Medium),,23.8,4,3,4,3,3,5,3,https://new-s3.shelterluv.com/profile-pictures/633c00d64774209a9e4e5fab45a2e390/4d1614e47cb8e3d5adacc9a3b1e984b8.jpg
Cat,Alloy,6,Domestic Shorthair,,3.47,3,3,3,3,3,3,3,https://new-s3.shelterluv.com/public/img/profile_photo/default_cat.png
Cat,Bartok,6,Domestic Shorthair,,2.87,3,3,3,3,3,3,3,https://new-s3.shelterluv.com/public/img/profile_photo/default_cat.png
Cat,Mr. Peabody,110,Domestic Shorthair,,10,4,3,3,3,3,4,3,https://new-s3.shelterluv.com/profile-pictures/3481f73dae42944020cba8ab2d723adb/ade241827cbc3b3d263ed5d55dc17309.jpg
Dog,Bingo,27,Mixed Breed (Medium),,53.1,3,2,4,3,3,4,3,https://new-s3.shelterluv.com/profile-pictures/2b1d0dbaf5979c483c1f89ca835c67b4/bcb110576edac148eebe1ce5db6eb088.jpg
Dog,Bluey,27,Mixed Breed (Large),,71,4,2,2,3,3,5,3,https://new-s3.shelterluv.com/profile-pictures/e14338970e46274ce1310bbf07b8f3ca/023e72a368a17d50b438507b4674eefd.jpg
Cat,Milo,50,Domestic Shorthair,,10.9,2,2,2,3,3,5,3,https://new-s3.shelterluv.com/profile-pictures/70a7d7ba64312179b41fffbbd4bc7970/fce996afae497b1dbda817f3a7206f50.jpg
Cat,Axyl,67,Domestic Shorthair,,12.79,4,4,3,2,3,4,3,https://new-s3.shelterluv.com/profile-pictures/e3c3545ffb257e9a37b510c6e7245fec/3178efca969f324366898f900c3ffcbe.jpg
Cat,The Brain,3,Domestic Shorthair,,2.18,2,4,4,3,3,5,3,https://new-s3.shelterluv.com/profile-pictures/58393dad88e77ba07d2952fc7472ffc0/fddd43e56df574516c5b468061b4b30f.jpeg
Cat,Pinky,3,Domestic Shorthair,,3,2,4,4,3,3,5,3,https://new-s3.shelterluv.com/profile-pictures/5ba11e7e4aa85e462eaa469c0db95897/0b7dc711b636da826b92719fc672e206.jpg
Cat,Jolene,3,Domestic Shorthair,,2,2,3,2,3,3,3,3,https://new-s3.shelterluv.com/profile-pictures/670d44d77648228caa251842278fc583/df5ea7a7ba90c3dba6e7bc636026f2b5.jpeg
Cat,Hank,3,Domestic Shorthair,,2,2,3,2,3,3,3,3,https://new-s3.shelterluv.com/profile-pictures/0d08dcbaa94f72ab77bb78ad9c52fdfa/55f3b0407fbbd38f4bb473544e892cc8.jpeg
Cat,Hillary Kitt,198,Domestic Shorthair/American Shorthair,,6.77,3,3,3,3,3,3,3,https://new-s3.shelterluv.com/profile-pictures/d201c9e9c970871e2859f18a32716f02/b24d2353acf5aff91d5a01a531323811.JPG
Dog,Hops,2,Mixed Breed (Medium),,6.54,3,2,2,3,3,4,3,https://new-s3.shelterluv.com/profile-pictures/e4e8d55b7dec6410b7b7270daa12e8ef/7574ff7858bcc1594a8114bae4172a50.jpeg
Dog,Briar,2,Mixed Breed (Medium),,16.9756,3,2,2,3,3,4,3,https://new-s3.shelterluv.com/profile-pictures/042c4eff5ed22dd1567acecea27af37e/757ba184f34829a7f0c1e2519404175f.jpeg
